site, x, y, z
0,0,0,0
1,0,1,0
2,0,1,1
3,0,2,1
4,0,2,2
5,0,3,2
6,0,3,3
7,0,4,3
8,0,4,4
9,0,5,4
10,0,5,5
11,0,6,5
12,0.866025,1.5,0
13,0.866025,2.5,0
14,0.866025,2.5,1
15,0.866025,3.5,1
16,0.866025,3.5,2
17,0.866025,4.5,2
18,0.866025,4.5,3
19,0.866025,5.5,3
20,0.866025,5.5,4
21,0.866025,6.5,4
22,0.866025,6.5,5
23,0.866025,7.5,5
24,1.73205,3,0
25,1.73205,4,0
26,1.73205,4,1
27,1.73205,5,1
28,1.73205,5,2
29,1.73205,6,2
30,1.73205,6,3
31,1.73205,7,3
32,1.73205,7,4
33,1.73205,8,4
34,1.73205,8,5
35,1.73205,9,5
36,2.59808,4.5,0
37,2.59808,5.5,0
38,2.59808,5.5,1
39,2.59808,6.5,1
40,2.59808,6.5,2
41,2.59808,7.5,2
42,2.59808,7.5,3
43,2.59808,8.5,3
44,2.59808,8.5,4
45,2.59808,9.5,4
46,2.59808,9.5,5
47,2.59808,10.5,5
48,3.4641,6,0
49,3.4641,7,0
50,3.4641,7,1
51,3.4641,8,1
52,3.4641,8,2
53,3.4641,9,2
54,3.4641,9,3
55,3.4641,10,3
56,3.4641,10,4
57,3.4641,11,4
58,3.4641,11,5
59,3.4641,12,5
60,4.33013,7.5,0
61,4.33013,8.5,0
62,4.33013,8.5,1
63,4.33013,9.5,1
64,4.33013,9.5,2
65,4.33013,10.5,2
66,4.33013,10.5,3
67,4.33013,11.5,3
68,4.33013,11.5,4
69,4.33013,12.5,4
70,4.33013,12.5,5
71,4.33013,13.5,5
72,1.73205,0,0
73,1.73205,1,0
74,1.73205,1,1
75,1.73205,2,1
76,1.73205,2,2
77,1.73205,3,2
78,1.73205,3,3
79,1.73205,4,3
80,1.73205,4,4
81,1.73205,5,4
82,1.73205,5,5
83,1.73205,6,5
84,2.59808,1.5,0
85,2.59808,2.5,0
86,2.59808,2.5,1
87,2.59808,3.5,1
88,2.59808,3.5,2
89,2.59808,4.5,2
90,2.59808,4.5,3
91,2.59808,5.5,3
92,2.59808,5.5,4
93,2.59808,6.5,4
94,2.59808,6.5,5
95,2.59808,7.5,5
96,3.4641,3,0
97,3.4641,4,0
98,3.4641,4,1
99,3.4641,5,1
100,3.4641,5,2
101,3.4641,6,2
102,3.4641,6,3
103,3.4641,7,3
104,3.4641,7,4
105,3.4641,8,4
106,3.4641,8,5
107,3.4641,9,5
108,4.33013,4.5,0
109,4.33013,5.5,0
110,4.33013,5.5,1
111,4.33013,6.5,1
112,4.33013,6.5,2
113,4.33013,7.5,2
114,4.33013,7.5,3
115,4.33013,8.5,3
116,4.33013,8.5,4
117,4.33013,9.5,4
118,4.33013,9.5,5
119,4.33013,10.5,5
120,5.19615,6,0
121,5.19615,7,0
122,5.19615,7,1
123,5.19615,8,1
124,5.19615,8,2
125,5.19615,9,2
126,5.19615,9,3
127,5.19615,10,3
128,5.19615,10,4
129,5.19615,11,4
130,5.19615,11,5
131,5.19615,12,5
132,6.06218,7.5,0
133,6.06218,8.5,0
134,6.06218,8.5,1
135,6.06218,9.5,1
136,6.06218,9.5,2
137,6.06218,10.5,2
138,6.06218,10.5,3
139,6.06218,11.5,3
140,6.06218,11.5,4
141,6.06218,12.5,4
142,6.06218,12.5,5
143,6.06218,13.5,5
144,3.4641,0,0
145,3.4641,1,0
146,3.4641,1,1
147,3.4641,2,1
148,3.4641,2,2
149,3.4641,3,2
150,3.4641,3,3
151,3.4641,4,3
152,3.4641,4,4
153,3.4641,5,4
154,3.4641,5,5
155,3.4641,6,5
156,4.33013,1.5,0
157,4.33013,2.5,0
158,4.33013,2.5,1
159,4.33013,3.5,1
160,4.33013,3.5,2
161,4.33013,4.5,2
162,4.33013,4.5,3
163,4.33013,5.5,3
164,4.33013,5.5,4
165,4.33013,6.5,4
166,4.33013,6.5,5
167,4.33013,7.5,5
168,5.19615,3,0
169,5.19615,4,0
170,5.19615,4,1
171,5.19615,5,1
172,5.19615,5,2
173,5.19615,6,2
174,5.19615,6,3
175,5.19615,7,3
176,5.19615,7,4
177,5.19615,8,4
178,5.19615,8,5
179,5.19615,9,5
180,6.06218,4.5,0
181,6.06218,5.5,0
182,6.06218,5.5,1
183,6.06218,6.5,1
184,6.06218,6.5,2
185,6.06218,7.5,2
186,6.06218,7.5,3
187,6.06218,8.5,3
188,6.06218,8.5,4
189,6.06218,9.5,4
190,6.06218,9.5,5
191,6.06218,10.5,5
192,6.9282,6,0
193,6.9282,7,0
194,6.9282,7,1
195,6.9282,8,1
196,6.9282,8,2
197,6.9282,9,2
198,6.9282,9,3
199,6.9282,10,3
200,6.9282,10,4
201,6.9282,11,4
202,6.9282,11,5
203,6.9282,12,5
204,7.79423,7.5,0
205,7.79423,8.5,0
206,7.79423,8.5,1
207,7.79423,9.5,1
208,7.79423,9.5,2
209,7.79423,10.5,2
210,7.79423,10.5,3
211,7.79423,11.5,3
212,7.79423,11.5,4
213,7.79423,12.5,4
214,7.79423,12.5,5
215,7.79423,13.5,5
216,5.19615,0,0
217,5.19615,1,0
218,5.19615,1,1
219,5.19615,2,1
220,5.19615,2,2
221,5.19615,3,2
222,5.19615,3,3
223,5.19615,4,3
224,5.19615,4,4
225,5.19615,5,4
226,5.19615,5,5
227,5.19615,6,5
228,6.06218,1.5,0
229,6.06218,2.5,0
230,6.06218,2.5,1
231,6.06218,3.5,1
232,6.06218,3.5,2
233,6.06218,4.5,2
234,6.06218,4.5,3
235,6.06218,5.5,3
236,6.06218,5.5,4
237,6.06218,6.5,4
238,6.06218,6.5,5
239,6.06218,7.5,5
240,6.9282,3,0
241,6.9282,4,0
242,6.9282,4,1
243,6.9282,5,1
244,6.9282,5,2
245,6.9282,6,2
246,6.9282,6,3
247,6.9282,7,3
248,6.9282,7,4
249,6.9282,8,4
250,6.9282,8,5
251,6.9282,9,5
252,7.79423,4.5,0
253,7.79423,5.5,0
254,7.79423,5.5,1
255,7.79423,6.5,1
256,7.79423,6.5,2
257,7.79423,7.5,2
258,7.79423,7.5,3
259,7.79423,8.5,3
260,7.79423,8.5,4
261,7.79423,9.5,4
262,7.79423,9.5,5
263,7.79423,10.5,5
264,8.66025,6,0
265,8.66025,7,0
266,8.66025,7,1
267,8.66025,8,1
268,8.66025,8,2
269,8.66025,9,2
270,8.66025,9,3
271,8.66025,10,3
272,8.66025,10,4
273,8.66025,11,4
274,8.66025,11,5
275,8.66025,12,5
276,9.52628,7.5,0
277,9.52628,8.5,0
278,9.52628,8.5,1
279,9.52628,9.5,1
280,9.52628,9.5,2
281,9.52628,10.5,2
282,9.52628,10.5,3
283,9.52628,11.5,3
284,9.52628,11.5,4
285,9.52628,12.5,4
286,9.52628,12.5,5
287,9.52628,13.5,5
288,6.9282,0,0
289,6.9282,1,0
290,6.9282,1,1
291,6.9282,2,1
292,6.9282,2,2
293,6.9282,3,2
294,6.9282,3,3
295,6.9282,4,3
296,6.9282,4,4
297,6.9282,5,4
298,6.9282,5,5
299,6.9282,6,5
300,7.79423,1.5,0
301,7.79423,2.5,0
302,7.79423,2.5,1
303,7.79423,3.5,1
304,7.79423,3.5,2
305,7.79423,4.5,2
306,7.79423,4.5,3
307,7.79423,5.5,3
308,7.79423,5.5,4
309,7.79423,6.5,4
310,7.79423,6.5,5
311,7.79423,7.5,5
312,8.66025,3,0
313,8.66025,4,0
314,8.66025,4,1
315,8.66025,5,1
316,8.66025,5,2
317,8.66025,6,2
318,8.66025,6,3
319,8.66025,7,3
320,8.66025,7,4
321,8.66025,8,4
322,8.66025,8,5
323,8.66025,9,5
324,9.52628,4.5,0
325,9.52628,5.5,0
326,9.52628,5.5,1
327,9.52628,6.5,1
328,9.52628,6.5,2
329,9.52628,7.5,2
330,9.52628,7.5,3
331,9.52628,8.5,3
332,9.52628,8.5,4
333,9.52628,9.5,4
334,9.52628,9.5,5
335,9.52628,10.5,5
336,10.3923,6,0
337,10.3923,7,0
338,10.3923,7,1
339,10.3923,8,1
340,10.3923,8,2
341,10.3923,9,2
342,10.3923,9,3
343,10.3923,10,3
344,10.3923,10,4
345,10.3923,11,4
346,10.3923,11,5
347,10.3923,12,5
348,11.2583,7.5,0
349,11.2583,8.5,0
350,11.2583,8.5,1
351,11.2583,9.5,1
352,11.2583,9.5,2
353,11.2583,10.5,2
354,11.2583,10.5,3
355,11.2583,11.5,3
356,11.2583,11.5,4
357,11.2583,12.5,4
358,11.2583,12.5,5
359,11.2583,13.5,5
360,8.66025,0,0
361,8.66025,1,0
362,8.66025,1,1
363,8.66025,2,1
364,8.66025,2,2
365,8.66025,3,2
366,8.66025,3,3
367,8.66025,4,3
368,8.66025,4,4
369,8.66025,5,4
370,8.66025,5,5
371,8.66025,6,5
372,9.52628,1.5,0
373,9.52628,2.5,0
374,9.52628,2.5,1
375,9.52628,3.5,1
376,9.52628,3.5,2
377,9.52628,4.5,2
378,9.52628,4.5,3
379,9.52628,5.5,3
380,9.52628,5.5,4
381,9.52628,6.5,4
382,9.52628,6.5,5
383,9.52628,7.5,5
384,10.3923,3,0
385,10.3923,4,0
386,10.3923,4,1
387,10.3923,5,1
388,10.3923,5,2
389,10.3923,6,2
390,10.3923,6,3
391,10.3923,7,3
392,10.3923,7,4
393,10.3923,8,4
394,10.3923,8,5
395,10.3923,9,5
396,11.2583,4.5,0
397,11.2583,5.5,0
398,11.2583,5.5,1
399,11.2583,6.5,1
400,11.2583,6.5,2
401,11.2583,7.5,2
402,11.2583,7.5,3
403,11.2583,8.5,3
404,11.2583,8.5,4
405,11.2583,9.5,4
406,11.2583,9.5,5
407,11.2583,10.5,5
408,12.1244,6,0
409,12.1244,7,0
410,12.1244,7,1
411,12.1244,8,1
412,12.1244,8,2
413,12.1244,9,2
414,12.1244,9,3
415,12.1244,10,3
416,12.1244,10,4
417,12.1244,11,4
418,12.1244,11,5
419,12.1244,12,5
420,12.9904,7.5,0
421,12.9904,8.5,0
422,12.9904,8.5,1
423,12.9904,9.5,1
424,12.9904,9.5,2
425,12.9904,10.5,2
426,12.9904,10.5,3
427,12.9904,11.5,3
428,12.9904,11.5,4
429,12.9904,12.5,4
430,12.9904,12.5,5
431,12.9904,13.5,5
