site, x, y, z
1,0,1,0
2,0,1,1
3,0,2,1
4,0,2,2
5,0,3,2
6,0,3,3
7,0,-2,-3
8,0,-2,-2
9,0,-1,-2
10,0,-1,-1
11,0,0,-1
12,0.866025,1.5,0
13,0.866025,2.5,0
14,0.866025,2.5,1
15,0.866025,3.5,1
16,0.866025,3.5,2
17,0.866025,-1.5,-4
18,0.866025,-1.5,-3
19,0.866025,-0.5,-3
20,0.866025,-0.5,-2
21,0.866025,0.5,-2
22,0.866025,0.5,-1
23,0.866025,1.5,-1
24,1.73205,3,0
25,1.73205,4,0
26,1.73205,4,1
27,1.73205,5,1
28,1.73205,-1,-4
29,1.73205,0,-4
30,1.73205,0,-3
31,1.73205,1,-3
32,1.73205,1,-2
33,1.73205,2,-2
34,1.73205,2,-1
35,1.73205,3,-1
36,2.59808,4.5,0
37,-2.59808,-3.5,0
38,-2.59808,-3.5,1
39,-2.59808,-2.5,1
40,-2.59808,-2.5,2
41,-2.59808,-1.5,2
42,-2.59808,-1.5,3
43,-2.59808,-0.5,3
44,2.59808,2.5,-2
45,-2.59808,0.5,4
46,2.59808,3.5,-1
47,-2.59808,-4.5,-1
48,-1.73205,-3,0
49,-1.73205,-2,0
50,-1.73205,-2,1
51,-1.73205,-1,1
52,-1.73205,-1,2
53,-1.73205,0,2
54,-1.73205,0,3
55,-1.73205,1,3
56,-1.73205,1,4
57,-1.73205,-4,-2
58,-1.73205,-4,-1
59,-1.73205,-3,-1
60,-0.866025,-1.5,0
61,-0.866025,-0.5,0
62,-0.866025,-0.5,1
63,-0.866025,0.5,1
64,-0.866025,0.5,2
65,-0.866025,1.5,2
66,-0.866025,1.5,3
67,-0.866025,2.5,3
68,-0.866025,-3.5,-2
69,-0.866025,-2.5,-2
70,-0.866025,-2.5,-1
71,-0.866025,-1.5,-1
72,1.73205,0,0
73,1.73205,1,0
74,1.73205,1,1
75,1.73205,2,1
76,1.73205,2,2
77,1.73205,3,2
78,1.73205,3,3
79,1.73205,-2,-3
80,1.73205,-2,-2
81,1.73205,-1,-2
82,1.73205,-1,-1
83,1.73205,0,-1
84,2.59808,1.5,0
85,2.59808,2.5,0
86,2.59808,2.5,1
87,2.59808,3.5,1
88,2.59808,3.5,2
89,2.59808,-1.5,-4
90,2.59808,-1.5,-3
91,2.59808,-0.5,-3
92,2.59808,-0.5,-2
93,2.59808,0.5,-2
94,2.59808,0.5,-1
95,2.59808,1.5,-1
96,3.4641,3,0
97,3.4641,4,0
98,3.4641,4,1
99,-1.73205,-4,1
100,-1.73205,-4,2
101,-1.73205,-3,2
102,-1.73205,-3,3
103,-1.73205,-2,3
104,3.4641,1,-2
105,-1.73205,-1,4
106,3.4641,2,-1
107,3.4641,3,-1
108,-0.866025,-4.5,0
109,-0.866025,-3.5,0
110,-0.866025,-3.5,1
111,-0.866025,-2.5,1
112,-0.866025,-2.5,2
113,-0.866025,-1.5,2
114,-0.866025,-1.5,3
115,-0.866025,-0.5,3
116,-0.866025,-0.5,4
117,-0.866025,0.5,4
118,-0.866025,0.5,5
119,-0.866025,-4.5,-1
120,0,-3,0
121,0,-2,0
122,0,-2,1
123,0,-1,1
124,0,-1,2
125,0,0,2
126,0,0,3
127,0,1,3
128,0,1,4
129,0,-4,-2
130,0,-4,-1
131,0,-3,-1
132,0.866025,-1.5,0
133,0.866025,-0.5,0
134,0.866025,-0.5,1
135,0.866025,0.5,1
136,0.866025,0.5,2
137,0.866025,1.5,2
138,0.866025,1.5,3
139,0.866025,2.5,3
140,0.866025,-3.5,-2
141,0.866025,-2.5,-2
142,0.866025,-2.5,-1
